N°,Dénomination,N° RCCM,Activités,Adresses,Type
1,14 FEVRIER,RB/COT 13 B 9578,"IMPORTATION DE PRODUITS  AGROALIMENTAIRES-TEXTILES-MATERIAUX DE  CONSTRUCTION-MATERIELS ELECTRIQUES-LA  QUINCAILLERIE-","QUARTIER DANTOKPA ILOT 531-  03 BP 3727 TEL 97035245",PM
2,2 AO & FILS,"RB/COO/12 B9186  DU220812","COMMERCE : Transports routiers de marchandises - toutes opérations pouvant concerner l'achat, la  vente, l'importation, l'exportation, l'emmagasinage, le  warrantage et le transport de tous produits ,  marchandises.","COTONOU : Kpondéhou 1 - ilot  462 bis - tél : 97272440",PM
3,"2A.S HOUNTONDJI ET  FILS",RB/COT/13 A 16754,"VENTE DE MATERIELS ELECTRIQUES ET  ELECTRONIQUES - PRESSING - DIVERSES  PRESTATIONS DE SERVICES.","QTIER: VEDOKO - ILOT: 1448 -  TEL: 95 46 95 19/ 97 80 01 52",PP
4,2AE HOUSE,"RB/COT/13A17796DU2308 13","COMMERCE : Achat et vente de matériels  d'électricité - vente de matériels électriques - BTP -  matériels et consommables informatiques -  bureautiques - génie civil","COTONOU : Kouhounou - ilot 2226  - parcelle G - Tél : 97966691",PP
5,2B PRESTATIONS,RB/COT/13 A 17292,"BTP - ASSAINISSEMENT - IMPRIMERIE -  POISSONNERIE - COMMERCE GENERAL ET  DIVERSES PRESTATIONS","QTIER: AGONTINKON - ILOT:  1116 - TEL: 95 95 69 73",PP
6,2EME LIEU,RB/COT/13 A 16565,"BARS - CAFES ET AUTRES DEBITS DE  BOISSONS - RESTAURATION - VENTE DE  PRODUITS D'ENTRETIEN","QTIER: FIFADJI - ILOT: 1915 - 10  BP 1073 - TEL: 97 64 46 52",PP
7,2GMD GROUP,"RB/COT/13B10498  DU130913","COMMERCE : Achat, vente, importation et  exportation de véhicules d'occasion - pneus - pièces  détachées et de motos","COTONOU : Cadjèhoun II - ilot 789  - parcelle A - Tél : 97378362",PM
8,2HF - SERVICES,"RB/COT/13B10302  DU180713","COMMERCE : Importation et exportation de tous  produits - matériels et objets non prohibés  notamment de véhicules automobiles d'occasion -  pneumatiques - pièces détachées pour automobiles  et de matériaux de construction","COTONOU : Fidjrossè Centre - ilot  1691 - parcelle R - Tél : 95860510",PM
9,3 AS TECHNOLOGIES,RB COT 13 A 16471,"ACHAT ET VENTE DE MATERIELS  INFORMATIQUES BUREAUTIQUES- FOURNITURES ET MATERIELS DE BUREAU","QUARTIER SAINT JEAN ILOT 436- E TEL 96748284/66159414",PP
10,3AE,RB/NAT/2013 B 035,"IMPORTATION DE MATERIAUX DE  CONSTRUCTION - MATERIELS ELECTRIQUES -  TOUS TRAVAUX CONSTRUCTION DE RESEAUX  ELECTRIQUES DE BTP ET DE GENIE CIVIL","QTIER: BORIS - YOURE - ILOT:  196 - MAISON HOUNGNIBO -  TEL: 96 99 51 84",PM
1120,JESUS CHRIST EST SEIGNEUR,RB COT 13 A 17079,ET DES BOISSONS - NEGOCE - ACHAT ET VENTE DE FOURNITURES DE BUREAU - DIVERSES PRESTATIONS DE SERVICES ET ,QTIER: CADJEHOUN - ILOT: 1181 - 03 BP 1989 - TEL: 97 19 88 94,PP,AMEGNIZIN COMLAN RAPHAEL
"","","",COMMERCE GENERAL.,"","",""
"","","",COMMERCE : Importation et exportation - ,"","",""
1121,JESUS SOLUTION OF EMMANUEL,RB/COT/13B10372DU070813,importation et commercialisation de lubrifiants - batteries auto et moto - de motos neuves - alimentation générale - commercialisation de produits ,COTONOU : Vèdoko - ilot 1418 - parcelle K - Tél : 95268674,PM,AMETOGNON SEDAKPO A. Emmanuel né le 22/03/82
"","","",forestiers,"","",""
"","","",ACHAT ET VENTE DE FOURNITURES DE ,"","",""
1122,JGE ET FILS,RB COT 13 A 16539,BUREAU LIBRAIRIE ET PAPETERIE-PRODUITS ,QUARTIER CADJEHOUN ILOT ,PP,GOUNON AIGBE SELOME 
"","","",D'ENTRETIEN -FORMATIONS-,1182-E TEL 66878101,"",TEL 66878101
"","","",COMMERCE : Achat et vente de fournitures de ,"","",""
1123,JIMMY SERVICES ,RB/COT/13 A18148 DU241013,bureau - libriairie et papeterie - matériels et maintenance informatique - accessoires de ,COTONOU : Kouhounou - ilot 2206 - parcelle B - Tél : 96087827,PP,GOMEZ A Jean M 
"","","",nettoyage et services assimilés,"","",""
"","","",LA SOCIETE A POUR OBJET LA ,"","",94 / 177
"","","",COMMERCIALISATION - LA VENTE ET LA ,"","",""
1124,JING CHENG,RB/COT/13 B 9713,DISTRIBUTION DES PRODUITS ALIMENTAIRES - ,QTIER: JERICHO - ILOT: 674 - 01 ,"",""
"","","",L'EXPLOITATION ET LA GESTION DES ,BP 8021 - TEL: 66 09 61 61,PM,LI XIYANG 
"","","",SUPERMARCHES - DES DROGUERIES,"","",""
"","","",ELECTRICITE BATIMENT -FROID-ENTRETIEN  ,"","",""
1125,JO DE L'OR ET FILS,RB/COT/13 A 16282,GENERAL-DIVERSES PRESTATIONS DE SERVICES.,QUARTIER VODJE ILOT 1086 01 BP 5264 TEL 97.28.10.11,PP,EDJEFFO TEL 97.28.10.11
"","","",COMMERCE : Importation et exportation de ,"","",""
1126,JOBARTEH UNLIMITED,RB/PN13 B373DU180210,véhicules automobiles et de pièces détachées - commerce général - nouvelle technologie de ,PORTO NOVO : SEME KPODJI - pk 14 route de porto novo - ilot 902 -,PM,HOUDEGBE KOKOU A
"","","",l'information et de la communication,parcelle K  - Tél : 96981389,"",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
1127,JOLI OEIL DE DIEU ,RB COT 13 A 16381,INFORMATIQUES BUREAUTIQUES-LOCATION DE VEHICULES-NEGOCE-COMMUNICATION- ,QUARTIER AGLA ILOT 1124-G 01 BP 111 TEL 97226393,PP,KPANOU KUASSI ¨PARFAIT TEL 97226393
"","","",PAPETERIE-COMMERCE GENERAL ET DIVERS.,"","",""
1128,"JOLIE MAISON DE BOISSONS ""JMB""",RB/COT/12 B8551 DU200212,COMMERCE : Importation de produits alimentaires et de boissons - produits tropicaux - agricoles - diverses prestations de services ,COTONOU : Missèbo - ilot 194 -195 - Tél : 95111313,PM,GUEDOU Omercle
"","","",SERVICE : Toutes opérations - représentations - ,"","",""
1129,JONIEL ET FILS,RB/ABC/13 B131DU030713,commissions et courtages relativement à ces produits marchandises et objets - commerce en ,ABOMEY CALAVI : godomey agocodji - ilot 201 - parcelle E - Tél ,PM,OUENSAVI Ayaba Birigitte née le 02/01/71 à bècon-
"","","",général - l'import et l'export,: 97692608,"",houegbo
"","","",IMPORTATION DE VEHICULES D'OCCASION-,"","",""
1130,JORDAN NEDVED COMPANY,RB /COT/12 B 9051,LOCATION DE VOITURES-BTP-LA COMMERCIALISATION ET LA VENTE DES APPAREILS -MATERIELS INFORMATIQSUES ET ,QUARTIER IREDE ILOT 204 TEL 97267905,PM,KOUKOUI DONA FRANCISCAIN
"","","",CONSOMMABLES  DE BUREAU-DIVERS.,"","",""
"","","",SERVICE : Activités de nettoyage - entretien général -,"","",""
1131,JOROF-V,RB/COT/13 A17408 DU130613,fournitures de bureau - curage de caniveau - BTP - désensablement de routes - commerce général et diverses prestations.,COTONOU : Akpakpa Zone des Ambassades - ilot 494 - parcelle 94 - Tél : 97201550,PP,VODOUNOU Sébastien né le 11/11/87 à Akassato
"","","",COMMERCE : Commerce général et divers - vente ,"","",""
1132,JOSS COMETIK,RB/COT/13A17686 DU020813,en gros et en détail de produits cosmétiques - mèches - lingerie - habits pour enfants - sacs pour ,COTONOU : Avlékété - ilot 153 - Tél : 97698838,PP,AKPAKA Joseline O. A. né le 26/08/73 à COTONOU
"","","",dames - mobilier de bureau,"","",""
"","","",ACHAT ET VENTE  DE MATERIELS ,"","",""
"","","",INFORMATIQUES BURAUTIQUES-BTP-GENIE ,"","",""
1133,JOULIE ET FILS,RB COT 13 A 16868,CIVIL-TELECOMMUNICATION-RESTAURATION-,QUARTIER ZOGBO ILOT 1780-E ,PP,NOUKONNOU ABLAVI 
"","","",PRODUITS AGRICOLES-TROPICAUX-,TEL 95866590,"",JEANNE
"","","",COMMERCE  GENERAL ET DIVERS,"","",""
"","","",COMMERCE : Achat et vente de vêtements - prêt à ,"","",""
1134,JOURS D'AILLEURS ,RB/COT/13A17734 DU130813,porter - maroquinerie - bijouterie - bureautique - bar restauration - alimentation générale et diveres - ,COTONOU : Dandji - ilot 664 - parcelle I - Tél : 97872334,PP,MIGAN Afiavi Mireille M. née le 23/04/82 à lomé
"","","",diverses prestations de services,"","",""
"","","",IMPORTATION DE MATERIAUX DE ,"","",95 / 177
"","","",CONSTRUCTION-PRODUITA ,"","",""
1135,JOVIAL IMPORT-EXPORT,RB/ABC /12 B 1033,AGROALIMENTAIRES-ELECTRICITE-LOCATION ,QUARTIER ADJAGBO C/S/B TEL ,PM,TOSSAVI COMLAN JOSE 
"","","",DES ENGINS LOURS -BTP-GENIE CIVIL-,97223822,"",TEL 97223822
"","","",PRODUITS TROPICAUX ,"","",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
1136,JUDEUS DIEU MERCI,RB/COT 13 A 16378,INFORMATIQUES BUREAUTIQUES-MATERIELS INFORMATQIUES-ELECTRICITE FROID-,QUARTIER DAGBEDJI ETOILE ILOT 938-A ,PP,HOUNKPE EPSE AOUKE JUDITH TEL
"","","",RESTAURATION-FORMATION-,"","",""
"","","",VENTE DE MATERIELS ELECTRIQUES ET ,"","",""
"","","",ELECTRONIQUES - MATERIELS ET ,"","",""
1137,JUMEAUX ELECTRIC,RB/COT/13 A 16852,CONSOMMABLES INFORMATIQUES - ,QTIER: DANTOKPA - ILOT: 84 - ,PP,SOUMANA OSSENI
"","","",FOURNITURES DE BUREAU - PRESTATIONS DE ,TEL: 97 38 87 93,"",""
"","","",SERVICES - COMMERCE GENERAL,"","",""
1138,JUNUAS ,RB/COT/13 A17568 DU120713,SERVICE : Bars - cafés et autres débits de boissons -restaurant - btp - commerce général et prestations diverses,COTONOU : Gbégamey - ilot 761 - parcelle domaine OCBN - Tél : 95252876,PP,VODOUNOU Sylvie C. née le 04/07/69 à cotonou
"","","",CONSEILS JURIDIQUES - PROBLEMES D'ETAT ,QTIER: SODJEATINME - ILOT: ,"",""
1139,JUPIDAX- CONSEIL,RB/COT/13 A 16770,CIVIL - GESTION DE CONFLITS - PRESTATIONS ,133 -  03 BP 0500 - TEL: 97 59 46 ,"",OLORY CLAUDE JOSE 
"","","",DIVERSES.,25/94 30 90 27,PP,DANDJINOU
"","","",ACHAT ET VENTE DE FOURNITURES DE ,"","",""
1140,JUSEC,RB COT 13 A 16243,BUREAU LIBRAIRIE ET PAPETERIE-MATERIELS INFORMATIQUES BUREAUTIQUES-GENIE CIVIL-,QUARTIER PK6 ILOT 316 B TEL 21333772,PP,SOSSOU COMLAN SIMSON TEL 21333772
"","","",PRODUITS COSMETIQUES,"","",""
"","","",ACHAT ET VENTE DE FRIPERIE-PRODUITS ,"","",""
"","","",ALIMENTAIRES-MATERIELS ,"","",""
"","","",ELECTROMENAGERS-MATERIELS ,"","",""
1141,JUT GROUP,RB COT 13 A 16924,INFORMATIQUES ET BUREAUTIQUES-LOCATION ,QUARTIER MEDEDJRO ILOT ,"",""
"","","",DE VEHICULES D'OCCASION-COMMERCE ,1264-C BP 92 TEL 97841862,PP,""
"","","",GENERAL ET DIVERSES PRESTATIONS DE ,"","",""
"","","",SERVICES.,"","",""
"","","",COMMERCE : Importation - achat et vente de ,"","",BOURAÏMA MELYAS Abdel
1142,K' MEL GROUP,RB/COT/08B4046DU301208,matériels informatiques - fournitures et mobiliers de bureau - véhicules d'occasion - transport de ,COTONOU : PLM - ILOT 0043 - PARCELLE P - Tél : 21332897,PM,K . S. né le 08/10/83 à 
"","","",personnes et de marchandises ,"","",sogbohouè
"","","",COMMERCE : Importation et exportation des ,"","",""
1143,K. L. KOLA,RB/PN/13B341 DU260713,véhicules d'occasion ou neufs - penumatique et de la friperie - commercialisation d'équipements ménagers ,AVRANKOU : Tchakla - CSB - Tél : 96963560,PM,FADE Latifou né le 08/03/72 à cotonou
"","","",- produits de téléphonie par internet,"","",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
1144,K2JA BENIN,RB COT 13 A16383,INFORMATIQUES BUREAUTIQUES-BTP-,QUARTIER ZOGBO ILOT 1881-C ,PP,ELEGBEDE BLANDINE 
"","","",RESTAURATION-DIVERS,TEL 97607757,"",TEL 97607757
"","","",ACHAT - VENTE - IMPORTATION ET ,"","",""
"","","",EXPORTATION DE VEHICULES AUTOMOBILES ,"","",""
1145,KABAM,RB/COT/13 B 9977,NEUFS OU D 'OCCASION - LA PNEUMATIQUE - ,QTIER: AHOUASSA - ILOT: 4407 - ,PM,DJEDJE KABIRTH 
"","","",LE TRANSPORT - ACHAT ET VENTE DE GAZ ET ,01 BP 638 - TEL: 97 94 38 69,"",KOLAWOLE
"","","",DE LUBRIFIANTS.,"","",""
1146,KACINO,RB/COT/13A17854DU030913,COMMERCE : Commerce général et divers - alimentation générale et diverses prestations de services - cosmétique,COTONOU : Kouhounou - ilot 1481 - parcelle c - Tél : 97 980 771,PP,96 / 177KOUDEBI Noelie C
"","","",ACHAT ET VENTE DE PRODUITS CONGELES ,"","",""
1147,KADJOLA ET FILS ,RB/COT 13 A 16834,CHAMBRES FROIDES-VENTE DE RAISINS-POMMES FRUITS-QUINCAILLERIE-COMMERCE ,QUARTIER MINONTCHOU  ILOT 841- TEL 97359962,PP,RAÏMI AFISSOU
"","","",GENERAL ET DIVERS.,"","",""
"","","",ACHAT ET VENTE DE PRODUITS FORESTIERS ,"","",""
1148,KADMIEL BUSINESS,RB/COT/13 A 16915,ET DE PRODUITS VIVRIERS ET DE CEREALES - COMMERCE GENERAL ET DIVERSES ,QTIER: AKPAKPA PK6 - ILOT: 228 - TEL: 97 47 20 34,PP,BOURAÎMA KAOSSAR ADEKPEDJOU AKAMBI
"","","",PRESTATIONS DE SERVICES.,"","",""
"","","",ACHAT ET VENTE DE MATERIELS ,"","",""
1149,KADY ET FILS ( BAR RESTAURANT YELLO ),RB COT 13 A 16382,INFORMATIQUES BUREAUTIQUES-HOTELLERIE-RESTAURATION-BUVETTE-COMMERCE ,QUARTIER VEDOKO ILOT 1455-K TEL 96787980,PP,SOKEW ANNOCIATE CLAUDINE AYABA TEL 
"","","",GENERAL.,"","",96787980
"","","",COMMERCE : Importation et exportation de tous ,"","",""
1150,KAF,RB/COT/12 B 9565 DU211212,"produits agro-alimentaires - achat, vente et la distribution de tous produits de grande ",COTONOU : Tanto - ilot 658 - tél : 97830084,PM,AKOUEBIHIN Koffi F 
"","","",consommation alimentaire,"","",""
1151,KAF - DIVINE ,RB/COT/13A 18068 DU101013,COMMERCE : Achat et vente de fournitures de bureau - librairie et papeterie - vente de cartes de recharges ,COTONOU : Mènontin - ilot 2161 - Tél : 97891536,PP,PADONOU K A 
"","","",COMMERCE : Importation et exportation des ,"","",""
1152,KAFA ET FILS ,RB/COT/13B10428DU230813,véhicules d'occasion - pneumatique - quincaillerie et le négoce - commercialisation d'équipements ,COTONOU : Dandji - ilot 5221 - parcelle F - Tél : 97169824,PM,karimou fatayi né le 150785 à cotonou
"","","",ménagers ,"","",""
1153,KAGG ET FILS,RB/COT/13A18122DU211013,COMMERCE : Achat et vente de pièces détachées - pneus et accessoires - matériels et consommables informatiques - décoration - entretien immobilier ,COTONOU : St Jean - ilot 929 - Tél : 95956065,PP,HOUNYE G Clotilde
1154,KAMBASICONOU ,RB/COT/13A18127 DU221013,COMMERCE : Toutes activités d'achat et vente de chaussures et saces pour hommes et dames - effets vestimentaires - appareils électroménagers ,COTONOU : Dantokpa - ilot 561 - parcelle S - Tél : 97472491,PP,HALIDOU Sita 
"","","",SERVICE : Bâtiments et travaux publics-,"","",""
1155,KANAWO ET FILS,RB/COT/13 A17464 DU240613,assainissement - alimentation générale - recyclage de ferrailles - commerce général et diverses ,COTONOU : Fifadji - ilot 1927 - parcelle B - Tél : ,PP,TONATO Francis Honoré né le 21/05/61 à grand popo
"","","",prestations de services,94455440/97266869,"",""
"","","",ETUDE-ASSISTANCE ET CONSEIL EN GESTION ,"","",""
"","","",ET ORGANISATION DES ENTREPRISES-  ,"","",""
"","","",FORMATION-AUDIT-MARKETING-MEDIATION-,"","",""
"","","",GESTION IMMOBILIERE-ETUDES ET ,"","",""
"",KANDHELS ,"",STRATEGIES DE DEVELOPPEMENT-SUIVI ET ,"","",""
1156,CONTINENTAL ,RB COT 13 A 17253,EVALUATION DE PROJETS-ETUDE DE MARCHE ,QUARTIER AYELAWADJE ILOT ,PP,""
"",CONSULTING,"",ET SONDAGE-RECOUVREMENT DES CREANCES-,223-E 01 BP 8370 TEL 97094891,"",""
"","","",APPUI ET CONSEIL EN DEVELOPPEMENT DES ,"","",""
"","","",PME ET PMI -ETUDES ET REALISATIONS ,"","",""
"","","",INITIATIVES DE DEVELOPPEMENT-DIVERSES ,"","",""
"","","",PRESTATIONS.,"","",""
1157,KANDJE ET FILS,RB COT 13 A 16775,"ACHAT ET VENTE DE MOTOCYCLES ET ACCESSOIRES-PIECES DETACHEES-BTP-DECORATION-SOUDURE-COMMERCE GENERAL ET DIVERS","QUARTIER GANKPODO ILOT 808-C TEL 97861357",PP
1158,KANFIS,"RB/COT/13A 18026DU021013","COMMERCE : Achat et vente de produits congelés - chambres froides - quincaillerie - agroalimentaire-  machines BTP - commerce général et divers","COTONOU : Vodjè centre - ilot 1070 - parcelle H - Tél : 65669579",PP
1159,KARA-KARA,RB COT 13 A 16956,"BTP-MACONNERIE-EXPLOITATION DE BUVETTE-COMMERCE GENERAL ET DIVERS","QUARTIER SODJEATINME ILOT 96- TEL 97601073",PP
1160,KARIMEL,"RB/COT/13 B10363 DU050813","COMMERCE : Commerce général - importation et exportation - fabrication et distribution de tous produits - marchandises - objets - matériels et équipements non prohibés notamment produits agroalimentaires","COTONOU : Gbénonkpo - ilot 1400Tél : 94349162",PM
1161,KARMA LOGISTIQUES,RB/COT/13 B 9708,"LA SOCIETE A POUR OBJET L'IMPORTATION - L'EXPORTATION ET LA VENTE DES PRODUITS ET DENREES ALIMENTAIRES - LES BOISSONS - LES HUILES VEGETALES","QTIER: MISSEBO - ILOT- 188 - 03 BP 1043 - TEL: -",PM
1162,KASS ET FILS,RB COT 13 A 16652,"ACHAT ET VENTE DE MATERIAUX DE CONSTRUCTION-QUINCAILLERIE GENERALE -PEINTURES BTP-PROMOTION IMMOBILIERE-COMMERCE GENERAL ET DIVERSES PRESTATIONS DE SERVICES.","QUARTIER SURU LERE ILOT 448 01 BP 5118 TEL 97985602",PP
1163,KATAKLE,RB/ABC /10 B 234,"IMPORTATION DE PRODUITS TROPICAUX ET AUTRES PRODUITS AGRICOLES-IMPORTATION DE MACHINES AGRICOLES-DIVERSES PRESTATIONS DE SERVICES.","QUARTIER ABOMEY-CALAVI WOMEY C/S/B 06 BP 424 TEL 97952262",PM
1164,KAW FOUTA TAUREAU,"RB/COT/13 A18082DU 111013","COMMERCE : Achat et vente de vêtements - prêt à porter - achat et vente de consommables informatiques - produits de beauté","COTONOU : Tokpa xoxo - Tél : 97041544",PP
1165,KAWERU.COM,COT/13-A-16293,"AGENCE DE COMMUNICATION - DIVERSES PRESTATIONS DE SERVICES","QTIER: JAK - ILOT: 47 - 06 BP 2197 - Tél: 96 21 95 50",PP
1166,KDF INTERNATIONAL,RB PN 13 B 184,"IMPORTATION DE MATERIAUX DE CONSTRUCTION-MATERIELS BUREAUTIQUES ET INFORMATIQUES","QUARTIER KANDEVIE ILOT 89 06 BP 924 TEL 97576790",PM
1167,KEFLOR-SERVICES,RB/COT/13 A 17276,"LOCATION DE BACHES - LOCATION DE CHAISES - TABLES - SERVICE TRAITEUR ET DIVERS","QTIER: AGLA-AKPLOMEY - ILOT: 3330 - TEL: 97 88 98 74",PP
1168,KEMI NEGOCE INTER,"RB/COT/13B 10545 DU240913","COMMERCE : Importation - distribution de véhicules pneumatiques - pièces détachées et engins neufs ou d'occasion","COTONOU : Tokpégbé - ilot 14 - Tél : 97508085",PM
1169,KERYGMA,RB/COT/13 A 16223,"CONSEILS EN COMMUNICATION ET EN MARKETING EVENEMENTIEL -PUBLICITE-EDITION-ACTION MEDIA","QUARTIER FIFADJI ILOT 1855 TEL 66013600/9463697503 BP 1555",PP
"","","",COMMERCE : L'achat et la revente de matériels ,"","",98 / 177
1171,KETA ET FILS ,RB/COT/13 B10180 DU140613,informatiques - copieurs - imprimantes - scanners - tous systèmes de sécurité - caméras digitales - ,COTONOU : Agbato - ilot 887 - parcelle A - Tél : ,PM,LOKOSSOU Paul Djixofê né le 01/01/61 à Abomey
"","","",pneumatique - BTP.,97220714/97582134,"",""
"","","","COMMERCE : Achat, vente, échange, négoce, ","","",""
1172,KFC INTERNATIONAL,RB/COT/13 B10667DU301013,"importation, exportation, emmagasinage, warrantage et transport de tous produits, marchandises, denrées ",COTONOU : Gbénonkpo - ilot 213 - parcelle C - Tél : 68209579,PM,KANDEGEDARA AZEEZ M H
"","","",et objets de toute nature ,"","",""
1173,KHALLI,RB/COT/13 A18135 DU221013,COMMERCE : Achat et vente d'articles de bonneterie - bijoux - communication - évènementiel,COTONOU : Saint Michel - ilot 596 -Tél : 64025052,PP,YAYA M Abikè
"","","","",QTIER: GBOGBANOU - ILOT: 113-,"",""
1174,KIAKIA FOODS,RB/COT/13 A 17044,EXPLOITATION D'UN RESTAURANT - RESTAURATION RAPIDE,130 - 06 BP 2076 - TEL: 21 31 08 10,PP,BOYA YONNANTCHE OLA YELINYAN
"","","",COMMERCE : Toutes opération généralemetn ,"","",""
1175,KIM TEX IMMO,RB/COT/13 B10292 DU180713,"quelconques pouvant concerner directement ou indirectement l'importation, l'exportation - l'achat - la vente en gros et demi gros - l'échange - le transport ",COTONOU : Aïbatin - ilot 1664 - parcelle C - Tél : 97972533,PM,ADELAKOUN M. Houefa A. E. né le 29/11/91 à vakon
"","","",et l'emmagasinage,"","",""
"","","",COMMERCE : Importation et commercialisation de ,"","",""
1176,KING ENERGY,RB/COT/13 B9727 DU060213,produits pétroliers - l'expertise pétrolière - distribution et vente de combustibles ,COTONOU : Maro militaire - iot 551 - parcelle I - Tél : 95958214,PM,ADJAMONSI Samson I. H. né le 25/03/83 à cotonou
"","","",COMMERCE : Achat et vente de pièces détachées ,"","",""
1177,KING-CASSE INTER ,RB/COT/13A 18358DU111213,d'automobiles et autres véhicules - divers meubles - effets vestimentaires - restauration - diverses ,COTONOU : Enagnon - ilot 890 - parcelle C - Tél : 97124365,PP,ONYIKALU Thankgod K
"","","",prestations de services ,"","",""
"","","","COMMERCE : L'achat, la vente et l'importation de ","","",""
"","","",véhicules automobiles neufs ou d'occasion - de ,"","",""
1178,KINHOUN ET FILS,RB/COT/13B10157 DU050613,pneus - de pièces détachées et autres accessoires - l'emmagasinage - la distribution et le transport de ,COTONOU : Gbégamey - ilot 950 - parcelle D - Tél : 97078200,PM,KINHOUN Sanmandou né le 11/01/77 à cotonou
"","","",tous produits,"","",""
1179,KISITO DISTRIBUTION,COT/13-A-16294,COMMERCE GENERAL - DIVERS,QTIER: FIFADJI - ILOT: 1928 - Tél: 95 05 62 61,PP,AZON ANDRE KISITO RENE
"","","",COMMERCE : Importation et exportation de ,"","",""
1180,KKL AUTO ,RB/COT/13B 10583DU091013,vehicules neufs ou d'occasion - pneus - pièces détachées et autres accessoires - ,COTONOU : Sikècodji - ilot 965 - Tél : 95626269,PM,GNIMAVO Walter 
"","","",COMMERCE : Achat et vente de fournitures de ,"","",""
1181,KOGEMA & FILS,RB/COT/13 A17522 DU030713,bureau librairie et papeterie - achat et vente de matériels informatiques - bureautiques - commerce ,COTONOU : Sikècodji - ilot 921 - tél : 97198919,PP,AKPAGBE Georgie M. née le 12/07/71 à COTONOU
"","","",général,"","",""
"","","",IMPORTATION DE VEHICULES D'OCCASION-,"","",""
1182,KOIME INTERNATIONALE,RB/LKS/2013 B 118,PIECES DETACHEES-PNEUMATIQUES-,QUARTIER HOUANOUHOUE ,PM,""
"","","",DIVERSES PRESTATIONS DE SERVICES,C/S/B  TEL 95940840,"",""
"","","",LA RECHERCHE-L'EXTRACTION-,"","",""
1183,KONPA,RB COT 13 B 9780,L'EXPLOITATION-LA VALORISATION DE RESSOURCES NATURELLES AGRICOLES ,QUARTIER DEDOKPO ILOT 576-YZ 05 BP 1415 TEL 90044964,PM,DALMEIDA SERGE JOSIAS HERVE 
"","","",MINIERES,"","",""
1184,KOS ET FILS ,RB POBE 13B 061 DU081113,COMMERCE : Importation de véhicules d'occasion - pneumatique - produits alimentaires - friperie - transport,POBE : Saketé - Gbokoudaï - csb - Tél / 97123012,PM,99 / 177KOSSOKO N A 
1185,KOSTO,RB/PN 13 B 117 DU300113,COMMERCE : Importation de véhicules automobiles d'occasion - de motos et de pièces détachées ,PORTO NOVO : Hounsouko - ilot 175- Tél : 97415096,PM,MOUTAIROU TADJOU D R S 
"","","",L'IMPORTATION ET L'EXPORTATION - ,"","",""
1186,KOTCHEHEGBE & FILS,RB/COT/13 B 9970,IMPORTATION ET VENTE DE VEHICULES AUTOMOBILES - DE CAMIONS D'OCCASION ET ,QTIER: AYELAWADJE 1 - ILOT: 246 - TEL: 66 36 43 28,PM,KOTCHEHEGBE RACHIDI
"","","",PNEUMATIQUES - NEGOCE INTERNATIONAL,"","",""
1187,KOUAGOU ET FILS,RB/COT 13 B 10059,IMPORTATION DE PRODUITS AGRO-ALIMENTAIRES-DIVERSES MARCHANDISES,QUARTIER AGBONDJEDO ILOT 1073 TEL 97919700,PM,""
"","","",Achat et vente de produits alimentaires et des ,"","",""
1188,KOUDOUS ET FRERES,RB/COT/13A17437DU19/06/13,boissons-achat et vente de la farine de blé-produits tropicaux-vivriers et forestiers-commerce général et ,"Adogléta C/603 Parcelle OO,Tél:97250624",PP,OLOSSOUMARE Zaharatou né le 01/01/1965
"","","",diverses prestations de services,"","",""
1189,KOUMBOUKOYE & FRERES ,RB/COT/13 A 17996DU270913,COMMERCE : Achat et vente de vêtements - prêt à porter - effets vestimentaires (jeans - chemises - pantalons),COTONOU : Dantokpe - ilot 162 - parcelle J - Tél : 95540408,PP,KOUMBOUKOYE Seydou
1190,KOUNAF BTP,RB/COT/13A17852DU030913,SERVICE : Toutes activités liées aux bâtiments et travaux publics (BTP) - achat et vente de pièces détachées et lubrifiants - quincaillerie,COTONOU : Avotrou - ilot 807 - parcelle C - Tél : 97 370 317,PP,KOUNASSO Godonou F. né le 101079 à porto novo
"","","",COMMERCE : Importation des produits alimentaires - ,"","",""
1191,KOUTA,RB/COT/13B 10705DU081113,exportation du bois et produits agricoles - achat et vente de fournitures de bureau - matériels de ,COTONOU : Kowègbo - ilot 756 - parcelle I - Tél / 64673592,PM,MAMAN KOUTA R
"","","",construction,"","",""
"","","",COMMERCE : Achat et vente de produits ,COTONOU : Akpakpa kpankpan - ,"",""
1192,KOUTCHANON ET FILS ,RB/COT/13A 18232DU121113,alimentaires et des boissons - alimentation générale - achat et vente de matériaux de construction,ilot 548 - parcelle H - Té : 97162651,PP,koutchanon B Daniel
"","","",ACHAT ET VENTE DE PRODUITS FORESTIERS ,"","",""
1193,KPEDONOU  & FILS,RB/COT 13 A 17321,ET DE PRODUITS VIVRIERS ET DE CEREALES-FOURNITURES DE BUREAU-BTP-NTIC-GENIE ,QUARTIER GBEDJROMEDE ILOT 1258-B TEL 96082510,PP,""
"","","",CIVIL-COMMERCE GENERAL ET  DIVERS.,"","",""
"","","",ACHAT ET VENTE DE PRODUITS COSMETIQUES ,"","",""
