N°,N° RCCM,Dénomination,Activités,Adresses,Type
1,"RB/PN/13 A 321  DU02/05/13","""NORA"" FASHION","COMMERCE: ACHAT ET VENTE DE  CHAUSSURES - SACS - TEXTILES - MERCERIE -  BIJOUX - PRODUITS COSMETIQUES -  BUREAUTIQUE - QUINCAILLERIE - PIECES","Porto-Novo Dodji LOT/ 2180-f TEL/ 97 07  82 06",PP
2,"RB/PN/13 A 462  DU25/07/13",2AK ET FILS,"COMMERCE: BUREAUTIQUE - BTP -  QUINCAILLERIE - ENTRETIEN DES LOCAUX -  LOCATION DE BACHES - SONORISATION  DIVERS - TRAVAUX D'IMPRIMERIE - BAR-","Adjarra Malanhoui M/SON KAKAHOUN  TEL/ 97 37 49 40",PP
3,"RB/PN/13 A 685  DU04/12/13",2H ET FILS,"COMMERCE: ACHAT ET VENTE DE  FOURNITURES DE BUREAU - MATERIELS ET  EQUIPEMENTS DE TOUS GENRES -  CONSOMMABLES INFORMATIQUES -","Porto-Novo Djègan-Kpèvi ZIP/3-232-M  TEL/97 83 66 61",PP
4,"RB/PN/13 A 491  DU22/08/13",2H HODONOU ET FILS,"COMMERCE: DEPOT DE VENTE DE PRODUITS  SOBEBRA - DEPOT DE VENTE DE CIMENT -  QUINCAILLERIE GENERALE - COMMERCE  GNERAL ET DIVERS","Sèmè-Kpodji Ekpè1 M/SON SAGBOHAN  TEL/ 97 47 32 82",PP
5,"RB/PN/13 A 513  DU30/08/13",2KC ET FILS,"INDUSTRIE: BTP - PRODUITS TROPICAUX -  AGRICOLES - FORESTIERS - BUREAUTIQUE -  INFORMATIQUE - TOUTES PRESTATIONS DE  SERVICES - EVENEMENTIEL - COMMUNICATION","Porto-Novo Ouando ZIP/ 3-267-H TEL/ 97  84 59 31",PP
6,"RB/PN/13 A 323  DU02/05/13",5EME AVENUE,"COMMERCE: CAFETERIA - SERVICE TRAITEUR - MAROQUINERIE - BIJOUX - ARTICLES  VESTIMENTAIRES - BUREAUTIQUE - DIVERSES  PRESTATIONS - EXPLOITATION ET","Porto-Novo Djassin ZIP/ 1-102-AH 01 BP  1904 P/N TEL/ 96 91 98 01",PP
7,"RB/PN/13 A 315  DU25/04/13",A B C-DEGNON,"COMMERCE: ACHAT ET VENTE DE  FOURNITURES DE BUREAU - LIBRAIRIE -  PAPETERIE - RESTAURATION - SERVICE  TRAITEUR - PATISSERIE - BOULANGERIE -","Porto-Novo Lokossa LOT/ 1956-f TEL/ 97  09 84 36",PP
8,RB/PN/ 13 A 232,A S B,"TRANSIT - PRODUITS TROPICAUX -  FORESTIERS - AGRICOLES - BTP -  PRESTATIONS DE SERVICES - FOURNITURES  DE BUREAU ET SCOLAIRES - INFORMATIQUE -","Tokpota I P/N LOT/ 385-A TEL/ 95 28 02  08",PP
"","","",INDUSTRIE: IMPRIMERIE - FOURNITURES ET ,"","",""
"",RB/PN/13 A 656 DU20/11/13,L-RIVIERE,EQUIPEMENTS DE BUREAU - PRESTATIONS DE SERVICES - MATERIELS ET CONSOMMABLES ,Porto-Novo Akonaboe LOT/246-Z M/SON AKPOLOU TEL/95 45 32 88,PP,TEKO Marie Elèonore Paulette 
358,"","",INFORMATIQUES - SERVICE TRAITEUR - ,"","",""
"","","",PRODUITS FORESTIERS - AGRICOLES - ,"","",""
"",RB P/N-13-A-005,LA BONNE TERRE,TROPICAUX - TRANSFORMATION DE PRODUITS ,Sèyivè S/KPODJI C/SB TEL/ 95 06 92 87,PP,GOUSSANOU 
"","","",FORESTIERS - TRANSPORT - LOGISTIQUE - ,"","",Priscille G.
359,"","",PRESTATIONS DE SERVICES - DIVERS,"","",""
"","","",GENIE CIVIL - BTP - BUREAUTIQUE - MOBILIERS ,"","",""
"",RB/ PN/ 13 A 260,LA BOUSSOLE DIVINE,- PRODUITS FORESTIERS - ALIMENTAIRES - ,Ouando P/N ZIP/ 4-232-L TEL/ 97 91 78 ,PP,ADANDE Vignon 
"","","",CONGELES - DEPOT BOISSONS - BUVETTE - ,56,"",Armand
360,"","",QUINCAILLERIE - REALISATION D'OUVRAGE EN ,"","",""
"","","",MATERIELS ET EQUIPEMENTS ,"","",""
"",RB P/N-13-A-029,LA CERTITUDE,INFORMATIQUES - BTP - FORAGE - ETUDE - ,Gbodjè P/N LOT/ 771-A TEL/ 95 17 05 49,PP,GBEDANHESSI 
"","","",FORMATION - IMPRIMERIE - PISTE RURALE - ,"","",Michel
361,"","",POISSONNERIE - DIVERS,"","",""
"","","",COMMERCE: MAQUIS - BAR-RESTAURANT ET ,"","",""
"",RB/PN/13 A 461 DU24/07/13,LA CHANDELLE,CAFE - SERVICE TRAITEUR SPECIALITE AFRICAINE ET EUROPEENNE - ,Dangbo Djigbé-Zounguè M/SON DJIDONOU TEL/97 57 36 83,PP,DJIDONOU Rémy
362,"","",REPRESENTATION - FOURNITURES DE ,"","",""
"",RB PN 13 A 216,LA CITE DES ANGES,AGENCE D'HOTESSE - EVENEMENTIEL - COMMERCE GENERAL ET DIVERS,Houinmè-Gbèdjromèdé P/N LOT/ 213-D TEL/ 97 53 79 67,PP,GBENOU Houéfa G.
363,"","","","","",""
"","","",LOCATION D'ENGINS LOURDS  - DE BACHES - ,"","",""
"",RB/PN/ 13 A 247,LA CLE BAPTISE,CHAISES - PIECES DETACHEES D'ENGINS ,Louho P/N LOT/ 1-O1 TEL/ 97 47 87 16,PP,AGOSSOU K. 
"","","",LOURDS - PRODUITS SOBEBRA - ,"","",Barthélémy
364,"","",POISSONNERIE - BTP - DIVERS,"","",""
"","","",COMMERCE GENERAL ET DIVERS - ,"","",""
"",RB/ PN/ 13 A 307,LA DEPECHE,BUREAUTIQUE - INFORMATIQUE - ,Podji-Agué Sèmè-Kpodji M/SON ,"",SENOU Elysabelle 
365,"","",CONSOMMABLES ET PRODUITS AGRICOLES,FAGBOHOUN TEL/ 97 47 42 38,PP,Colombe Binoutiri
"","","",COMMERCE: PNEUMATIQUE - PIECES DE ,"","",""
"",RB/PN/13 A 417 DU27/06/13,LA DIVINE FRAÎCHE ROSEE,RECHANGES - MATERIELS INFORMATIQUES - CONSOMMABLES MEDICALS - COMMERCE ,Porto-Novo Kandévié-Owodé LOT/494-A TEL/96 14 92 50,PP,HOUETON Dona Toundé Nataniel
366,"","",GENERAL ET DIVERS ,"","",""
"","","",IMPORTATION DE MATERIAUX DE ,"","",""
"",RB/PN/ 10 B 410,LA FRATERNITE,CONSTRUCTION - DE MATERIELS ,Agamandin Djrègbé C/SB M/SON ,"",""
"","","",INFORMATIQUES - PNEUMATIQUE - ,AKEWOLE TEL/ 97 49 40 88,PM,OKEWOLE E. Cosme
367,"","",POISSONNERIE - ALIMENTATION GENERALE - ,"","",""
"","","",PRET-A-PORTER - VENTE DE GAZ - ,"","",""
"",RB/PN/ 13 A 248,LA GLOIRE DE DIEU Z.F.G,LUBRIFIANTS - COSMETIQUES - ALIMENTATION ,Dowa P/N ZIP/ 4-701-d TEL/ 97 98 48 69,PP,ZANKRAN Fifadji
"","","",GENERALE - DEPOT SOBEBRA - LOCATION DE ,"","",""
368,"","",MARMITES - CARTES DE RECHARGE - DIVERS,"","",""
"","","",COMMERCE: PAPETERIE - LIBRAIRIE - ,"","",""
"",RB/PN/13 A 361 DU24/05/13,LA GRACE LMJJ,PHOTOCOPIE - CONSOMMABLES INFORMATIQUES - VENTE DE MATERIAUX DE ,Porto-Novo Sèto-Gbodjè C/SB TEL/ 97 39 60 19,PP,HOUNHANOU Marie-José Judicaël
369,"","",CONSTRUCTION - BTP - TRANSPORT - ,"","",""
"","","",RESTAURATION - SERVICE TRAITEUR - ,"","",""
"",RB P/N-13-A-142,LA GRIGNOTINE,ALIMENTATION GENERALE - VENTE DE ,Foun-Foun Gbègo P/N ZIP/ 3-139-N TEL/ ,PP,DOVONOU A. 
370,"","",BOISSONS - DIVERS,97 40 22 40,"",Colombe
"","","",SERVICES: PRESTATIONS DE SERVICES - ,"","",""
"",RB/PN/13 A 573 DU30/09/13,LA JOIE DE ZÈ,PRODUITS TROPICAUX - AGRICOLES - ENTRETIEN  - BTP - COMMERCE GENERAL ET ,Sèmè-Podji Ekpè3 C/SB M/SON BOSSA TEL/ 97 16 00 67,PP,BOSSA Agossou Nicolas
371,"","",DIVERS,"","",""
"","","",COMMERCE: VENTE DE VOLAILLE - PRODUITS ,"","",""
"",RB/PN/13 A 366 DU29/05/13,LA LUMIERE DIVINE PLUS,CONGELES - QUINCAILLERIE - CIMENT - PRODUITS ALIMENTAIRES - BOISSON - ,Adjarra Honvié LOT/ 54-K TEL/ 97 47 88 68,PP,AGOSSOU Germaine
372,"","",BUREAUTIQUE - PRODUITS AGRICOLES - ,"","",""
"","","",COMMERCE: PRODUITS COSMETIQUES - ,"","",""
"",RB/PN/13 A 606 DU17/10/13,LA MAIN DE DIEU,BONNETERIE - FORESTIERS - AGRICOLES - SOBEBRA - ALIMENTATION GENERALE - ,Adjarra Adjati C/SB M/SON HOUNYE TEL/ 97 30 68 95,PP,HOUNYE Aguessi Julienne
373,"","",QUINCAILLERIE - PRESTATIONS DE SERVICES - ,"","",""
"","","",SERVICES: PRESTATIONS DE SERVICES - ,"","",""
"",RB/PN/13 A 588 DU07/10/13,LA MARQUISE,VENTE DE PRODUITS ALIMENTAIRES CONGELES - SOBEBRA - GAZ DOMESTIQUE - ,Porto-Novo Agbokou LOT/2-61-AN TEL/97 77 87 01,PP,DJOSSOU AlphonsineDamaris Gbèwa
374,"","",INFORMATIQUE - BUREAUTIQUE - COMMERCE ,"","",""
"","","",INDUSTRIE: IMPRIMERIE - VENTE DE ,"","",""
"",RB/PN/13 A 560 DU24/09/13,LA PASSION,FOURNITURES SCOLAIRES - FOURNITURES DE BUREAU - ENTRETIEN - BTP - PRESTATIONS ,Sèmè-Kpodji Agamandin M/SON HOUNKPE TEL/ 97 58 85 03,PP,HOUNKPE Niyédjo Justin
375,"","",DIVERS - COMMERCE GENERAL,"","",""
"","","",MATERIELS INFORMATIQUES - BUREAUTIQUE - ,"","",""
"",RB/PN/ 13 A 222,LA PERSEVERANCE BENIN,PRODUITS COSMETIQUES - DES PAGNES - ,Sèkandji S/PODJI C/SB TEL/ 97 0950 04,PP,NACHIROU 
376,"","",MATERIAUX DE CONSTRUCTION,"","",Moudjibou
"","","",COMMERCE GENERAL ET DIVERS - VENTE DE ,"","",""
"",RB/ PN/ 13 A 306,LA POINTE DE L'ENERGIE,BATTERIES - DE PIECES ELECTRONIQUES - ,Foun-Foun Sodji Porto-Novo LOT/ 1398-d ,"",SAGBO Amos 
"","","",PIECES DETACHEES DE VOITURES - VENTE DE ,TEL/ 97 72 74 68,PP,Yémadjro
377,"","",CIMENT - MATERIAUX DE CONSTRUCTION,"","",""
"","","",VENTE D'HUILE - DE GAZ DOMESTIQUE - ,"","",""
"",RB P/N-13-A-036,LA PROPHETIE,POISSONNERIE - ALIMENTATION GENERALE - ,Ayimlonfidé P/N ZIP/ 1-254-S TEL/ 97 17 07 09,PP,OLORY Cilia Bernice
378,"","",DIVERS,"","",""
"","","",COMMERCE: MATERIELS ET MOBILIERS DE ,"","",""
"",RB/PN/13 A 397 ,"","","","",""
"",DU18/06/13,LA REFERENCE.COM,BUREAU - INFORMATIQUE - FOURNITURES - CONSOMMABLES ET ACCESSOIRES ,Sèmè-Kpodji Agbalilamè M/SON DOSSOUVI TEL/ 95 89 04 66,PP,SAGBO Quentin Fidèle
379,"","",INFORMATIQUES - ASSAINISSEMENT - ,"","",""
"","","",COMMERCE GENERAL - PRESTATIONS DE ,"","",""
"",RB/PN/13 A 228,LA ROYALE M&C,SERVICES - ETUDE - BTP - GESTION ,PK10 S/PODJI C/SB TEL/ 97 21 38 32,PP,MEVOANOU Romain
"","","","IMMOBILIERE - ASSISTANCE FISCALE, ","","",""
380,"","",JURIDIQUE ET COMPTABLEINFORMATIQUE - ,"","",""
"","","",COMMERCE: VENTE DES PRODUITS ,"","",""
"",RB/PN/13 A 430 ,"",CONSOMMABLES - VENTE DES PRODUITS ,Porto-Novo Houinmè-Djaguidi LOT/368-H ,"",SOKADJO Ablawa 
"",DU08/07/13,LA SAINTE ANGELUX,BIOMEDICAUX - COMMERCE G2N2RAL ET ,TEL/97 49 24 39,PP,Clémentine
381,"","",DIVERS,"","",""
"","","",LIBRAIRIE - PAPETERIE - INFORMATIQUE - ,"","",""
"",RB/POB 2013 A 067,LA SAINTE TRINITE,DIVERSES PRESTATIONS DE SERVICES - ,Kétou Massafè LOT/ 08 ZONE B parcelle m TEL/ 96 03 67 96/9413 81 96,PP,OLOUYOMI Epse AINAN Victorine Ola-
382,"","",COMMERCE GENERAL ET DIVERS,"","",Omou
"","","",COMMERCE: IMPORTATION DE PRODUITS ,"","",""
"",RB/PN/13 B 325 DU09/07/13,LA SALNYS,ALIMENTAIRES - PRODUCTION ET PROMOTION ARTISTIQUE - DISTRIBUTION DES SUPPORTS ,Porto-Novo Djègan-Kpèvi ZIP/3-578-B TEL/97 87 53 97,PM,TIDJANI Ignace Saliou
383,"","",AUDIOVISUELS - ACHAT ET VENTE D'EFFETS ,"","",""
"","","",MATERIELS SCIENTIFIQUES ET DE ,"","",""
"",RB P/N-13-A-037,LA TETE D'OR,LABORATOIRES - BTP - NETTOYAGE ET ,Glogbo S/KPODJI C/SB TEL/ 68 26 23 58,PP,CAPO-CHICHI Marie 
"","","",ASSAINISSEMENT - MOBILIERS - TRANSPORT - ,"","",Suzanne
384,"","",MATERIELS INFORMATIQUES ET ,"","",""
"","","",MATERIELS INFORMATIQUES - APPAREILD ,"","",""
"",RB P/N-13-A-056,LA VALEE DE BERACA,ELECTRONIQUES - MOBILIERS ET ,Agblangandan S/KPODJI LOT/ 150-E ,PP,HOUNGBEMON 
"","","",FOURNITURES DE BUREAU - PNEUMATIQUE - ,TEL/ 97 23 80 70,"",Daniel
385,"","",INTRANTS AGRICOLES - ELECTRONIQUE - ,"","",""
"","","",SERVICE: FORMATION EN AUTO-ECOLE - BTP - ,"","",""
"",RB/PN/13 A 612 DU23/10/13,LABAEKA,IMPRIMERIE - FOURNITURES DE BUREAU ET SCOLAIRES - PRESTATIONS DE SERVICES - ,Adjarra Hounsa Assiogbossa C/SB M/SON PHILIPPE TEL/ 95 85 53 96,PP,PHILIPPE Toufic Charles
386,"","",COMMERCE GENERAL ET DIVERS,"","",""
"",RB P/N-13-A-071,LABORATOIRE TECHNIQUE DU BATIMENT,CONCEPTION DE PLANS ARCHITECTURAUX - BTP - ENTRETIEN DES BATIMENTS - NEGOCE ,Djassin daho P/N LOT/ 1111-g TEL/ 99 88 39 20 ,PP,HOUNSOU G. Julien
387,"","",DES MATERIAUX DE CONSTRUCTION - DIVERS,"","",""
"","","",COMMERCE: IMPORTATION DE VEHICULES ,"","",""
"",RB/PN/11 B 868 ,"",D'OCCASION - PIECES DE RECHANGES - ,Porto-Novo Houinmè-Château C/SB ,"",""
"",DU16/09/11,LADJIB,PRODUITS ALIMENTAIRES - PNEUMATIQUE - ,M/SON LALEYE TEL/ 97084405,PM,LALEYE Djibril
388,"","",TRANSPORT - QUINCAILLERIE - COSMETIQUES -,"","",""
"","","",PRODUITS AGRICOLES - FORESTIERS - ,"","",""
"",RB P/N-13-A-087,LAMILOKOU ET FILS,SOBEBRA - LOCATION DES MAISONS - BAR-,Akonaboè P/N LOT/ 328-A TEL/ 96 17 23 ,PP,LAMILOKOU Jean
"","","",RESTAURANT - CIMENT - QUINCAILLERIE - ,17,"",""
389,"","",POISSONNERIE - TRANSPORT - DIVERS,"","",""
"","","",COMMERCE: IMPORTATION DE VEHICULES ,"","",""
"",RB/PN/10 B 801 ,"","","","",""
"",DU26/10/10,LANIFACK & FILS,AUTOMOBILES D'OCCASION - PNEUMATIQUE - TRANSPORTS - ACHAT ET VENTE DE ,Porto-Novo Anavié M/SON LANIGNAN TEL/ 97 21 49 78,PM,LANIGNAN Mouafak
390,"","",MATERIAUX DE CONSTRUCTION - ,"","",""
"","","",VENTE DE VEHICULES D'OCCASION - ,"","",""
"",RB P/N-13-A-150,LAYODE ET FILS,MACHINES AGRICOLES - ENGINS DE BTP - ,Anavié P/N LOT/ 632-d TEL/ 97031023,PP,LAYODE Mouf Dille
"","","",QUINCAILLERIE - BTP - AGROALIMENTAIRE - ,"","",""
391,"","",TEXTILES - MATERIELS INFORMATIQUES - ,"","",""
"","","",QUINCAILLERIE GENERALE - PRESTATIONS DE ,"","",""
"",RB P/N-13-A-199,LC / FINAFA,SERVICES - LOCATION DE BACHES - CHAISES - ,DANGBO-CENTRE C/SB TEL/ 97 68 27 ,PP,EDIBO G. Etienne
392,"","",TABLES - EVENEMENTIEL - DIVERS ,15,"",""
"","","",MATERIAUX DE CONSTRUCTION - DEPOT ,"","",""
"",RB/PN/ 13 A 239,LE ''DESTIN-AC'' CONSTRUCTION,SOBEBRA - POISSONNERIE - BUVETTE - PRODUITS ALIMENTAIRES - FORESTIERS - ,Azohouè A/MISSERETE C/SB TEL/ 97 39 70 67,PP,KPONDEHOU Toviho
393,"","",PRESTATIONS DE SERVICES - BTP - DIVERS,"","",""
"","","",COMMERCE: VENTE DE MATERIELS ,"","",""
"",RB/POB/13 A 048 DU27/08/1,LE BOS,INFORMATIQUES - BUREAUTIQUES ET DIDACTIQUES - REALISATION DES TRAVAUX ,Pobè Ossomou C/SB M/SON SANOUSSI TEL/ 95024003/96889312,PP,DOHOU Hontongnon Martial Bosco
394,"","",D'IMPRIMERIE - COMMERCE GENERAL ET ,"","",""
"","","",COMMERCE: CAFETERIA - DEBIT DE BOISSONS ,"","",""
"",RB/PN/13 A 679 DU27/11/1 ,LE CACAO-PLUS,- ALIMENTATION GENERALE - DEPOT SOBEBRA - RESTAURATION  - SERVICE TRAITEUR - BTP - ,Porto-Novo Akonaboe LOT/305-e TEL/97 04 30 14,PP,PADONOU Médard Guy François
395,"","",ASSAINISSEMENT - PRODUCTION AUDIO-,"","",""
"","","",LE COMMERCE GENERAL - BTP - HOTELLERIE - ,"","",""
"",RB/PN/ 13 A 255,LE CAPITOLE,MATERIAUX DE CONSTRUCTION - TRANSPORT -,Accron P/N ZIP/ 1-814-h TEL/ 94 29 20 00,PP,HOUNSINOU Wilfrid 
396,"","",ALIMENTATION GENERALE - DIVERS,"","",J.
"","","",SERVICE: AUTO-ECOLE/ENSEIGNEMENT DE ,"","",""
"",RB/PN/13 A 485 DU14/08/13,LE DEFI - PLUS,CONDUITE AUTOMOBILE - VENTE DES DOCUMENTS DIDACTIQUES - CENTRE ,AVRANKOU Tanzoun M/SON HOUENOU TEL: 97 57 45 17,PP,HOUENOU Sègbégnon Pierre
397,"","",INFORMATIQUE - QUINCAILLERIE - LIBRAIRIE - ,"","",""
"","","",VENTE DE NOIX DE PALMISTES - HUILE ROUGE -,"","",""
"",RB P/N-13-A-173,LE DIAMANT ET FILS,PRODUITS FORESTIERS - BUVETTE - DEPOT ,Dessah/Chaada IFANGNI C/SB TEL/ ,PP,NOUDAIKPON H. 
398,"","",SOBEBRA - DIVERS,94481583,"",Lucien
"","","",INDUSTRIE: TOUS TRAVAUX DE MENUISERIE - ,"","",""
"",RB/PN/13 A 382 DU 07/06/1,LE GENIE DU BOIS,BTP - PLOMBERIE - QUINCAILLERIE - ALIMENTATION GENERALE - PRESTATIONS DE ,Porto-Novo Foun-Foun Sodji LOT/44-e TEL/ 97 68 15 33,PP,HONVOU Mahuton Justin
399,"","",SERVICES,"","",""
"","","",SERVICE: ENSEIGNEMENT PRESCOLAIRE ET ,"","",""
"",RB/PN/13 A 480 DU13/08/13,LE MIRADOR,PRIMAIRE  - SECONDAIRE - BUREAUTIQUE - PAPETERIE - INFORMATIQUE - PRESTATIONS ,Porto-Novo Foun-Foun Gbègo LOT: 216-A TEL/ 68 18 06 61,PP,KOUDOGBO Sylvère Eusèbe Gatien 
400,"","",DIVERSES - ASSAINISSEMENT - ENTRETIEN ,"","",Ouanilo Mètochey
"","","",FOURNITURES DE BUREAU - MATERIELS ET ,"","",""
"",RB P/N-13-A-130,LE MONDIAL,CONSOMMABLES INFORMATIQUES - GSM - ,Djrègbé S/PODJI C/SB TEL/ 66 08 15 82,PP,HOUNDJO O. Cécile
"","","",TOUS TRAVAUX D'IMPRIMERIE - LOCATION DE ,"","",""
401,"","",VEHICULES DE TOUTES GAME - ,"","",""
"","","",COMMERCE: PRODUITS GSM - AGRICOLES - ,"","",""
"",RB/PN/13 A 691 DU09/12/13,LE RESEAU,FORESTIERS - ALIMENTAIRES - GESTION IMMOBILIERE - CYBER CAFE - INFORMATIQUE - ,Porto-Novo Foun-Foun Gbègo LOT/112-B TEL/64 06 96 95,PP,SALOU Mohamed Djamiou
402,"","",BUREAUTIQUE - PRESTATION DE SERVICES - ,"","",""
"","","",ETUDE ET REALISATION DES TRAVAUX BTP - ,"","",""
"",RB P/N-13-A-202,LE REVEIL,PLOMBERIE - ELECTRICITE - CLIMATISATION - ,Akpro-centre MISSERETE C/SB TEL/ 97 ,PP,GNONHOSSOU S. 
403,"","",FROID - PRODUITS SOBEBRA ET GSM - DIVERS,17 90 80,"",Benjamin
"","","",PATISSERIE - SALON DE GLACIER - ,"","",""
"",RB/ PN/ 13 A 244,LE SWEET,PRESTATIONS DE SERVICES - COMMERCE ,Podji-agué S/PODJI C/SB TEL/ 95 86 04 ,PP,GNIMAVO Alain
404,"","",GENERAL ET DIVERS,10,"",""
"","","",RESTAURATION - SERVICE TRAITEUR - ,"","",""
"",RB P/N-13-A-080,LE VERSEAU Z T,PRODUITS SOBEBRA - DECORATION - ,Wadon Dangbo C/SB TEL/ 97 72 65 90,PP,ZANNOU W. Thomas
"","","",BUREAUTIQUE - CONSOMMABLES ,"","",""
405,"","",INFORMATIQUES - BTP - TRANSPORT - DIVERS,"","",""
"",RB/PN/13 A 373 ,"",COMMERCE: BAR-RESTAURANT - PRODUITS ,"","",""
"",DU04/06/13,LE VRAI CHOIX,DE LA SOBEBRA - COSMETIQUES - TEXTILES - ,Akpro-Missérété Danmèlokonon LOT/ 142-,PP,SOGBEDJI Afiwa 
406,"","",BIJOUX - DIVERS,D2 TEL/ 64 66 48 80,"",Blanche
"","","",COMMERCE: ACHAT ET VENTE DE CIMENT - ,"","",""
"",RB/PN/13 A 379 DU06/06/13,LES 2H TOUT EST GRACE,PRODUITS FORESTIERS - AGRICOLES - VEGETAUX - FOURNITURES DE BUREAU - ,Sèmè-Kpodji Houinta Houèkè M/son HOUNMENOU TEL/ 97 47 87 13,PP,HOUNMENOU Honoré Félix 
407,"","",COMMERCE GENERAL ET DIVERS,"","",Minakpon
"","","",RESTAURATION - SERVICE TRAITEUR - ,"","",""
"",RB/PN/ 13 A 252,LES 3 L,BUREAUTIQUE - ALIMENTATION GENERALE - ,Djassin-daho P/N ZIP/ 1-132-H TEL/ 94 ,PP,GNIMASSOU Epse 
"","","",VENTE D'HUILE VEGETALE - BTP - PRODUITS ,29 02 51,"",HADONOU Chantal
408,"","",COSMETIQUES - DIVERS,"","",""
"",RB/PN/13 A 487 ,"",INDUSTRIE: BTP - QUINCAILLERIE ET VENTE DE ,"","",""
"",DU16/08/13,LES 3D BENIN,PLANCHES - PRESTATIONS DE SERVICES - ,Sakété Dagbao C/SB TEL/ 96 30 03 49,PP,KINTOGANDOU 
409,"","",COMMERCE GENERAL ET DIVERS,"","",Agbomènou Sagbo
"","","",PRESTATIONS EN TOURISME - LOCATION DE ,"","",""
"",RB P/N 13 A 210,LES 3M ET FILS,VEHICULES - TOOUS TRAVAUX D'IMPRIMERIE - ,Avakpa-kpodji P/N ZIP/ 1-114-L TEL/ 97 ,PP,BETE M. Syvain
"","","",BTP - FOURNITURES DE BUREAU - MATERIELS ,44 39 68,"",""
410,"","",INFORMATIQUES - DIVERS,"","",""
"","","",SERVICES: CONSULTATION - ,"","",""
"",RB/PN/13 A 445 ,"","","","",""
"",DU17/07/13,LES CONSTELLATIONS V85,REPRESENTATION - CONSEILS - DIVERSES PRESTATIONS DE SERVICES - COMMERCE ,Sèmè-Kpodji Sèkandji M/SON LANIGNAN TEL/90929709,PP,LANIGNAN Sèyibou
411,"","",GENERAL,"","",""
"",RB P/N-13-A-086,LES ECLATS DU SOLEIL,ACHAT ET VENTE DE FOURNITURES ET MATERIELS DE BUREAU - BTP - DIVERS,Odofin IFANGNI C/SB TEL/ 97073453,PP,HOUESSOU Kossi
412,"","","","","",""
"","","",BUREAUTIQUE - BTP - INFORMATIQUE - ,"","",""
"",RB P/N-13-A-127,LES JUMELLES,ALIMENTATION GENERALE - MOBILIERS - ,Ekpè2 S/PODJI C/SB TEL/ 66 76 44 41,PP,TCHAWLASSOU 
"","","",ELECTRICITE - MAINTENANCE - PIECES DE ,"","",Flora
413,"","",RECHANGE - DIVERS,"","",""
"",RB P/N-13-A-162,LES MERVEILLES,ALIMENTATION GENERALE - VENTE DE GAZ DOMESTIQUES - DIVERS,Dowa P/N ZIP/ 4-544-b TEL/ 66 56 49 95,PP,AVANNA Olga Donald
414,"","","","","",""
"","","",COMMERCE: ACHAT ET VENTE DE TEXTILES - ,"","",""
"",RB/PN/13 A 575 ,LES MERVEILLES AYE-,EFFETS VESTIMENTAIRES - PRODUITS ,Akpro-Missérété Danto LOT/ 1805-i TEL/ ,"",LAWANI Cholakpè 
"",DU01/10/13,KÔTO,COSMETIQUES - PRODUITS ALIMENTAIRES - ,97 11 47 20,PP,Sabitiou
415,"","",COMMERCE GENERAL ET DIVERS,"","",""
"",RB/PN/13 A 447 ,"",COMMERCE: VENTE DE PRODUITS CONGELES - ,"","",""
416,DU17/07/13,LES MERVEILLES MD,ALIMENTATION GENERALE - QUINCAILLERIE - COMMERCE GENERAL ET DIVERS,Avrankou Sèdjè M/SON AKPOVO TEL/ 97 81 42 81,PP,MENSAH Diane Pélagie Agossi
"","","",COMMERCE: LOCATIONS DE CHAISES ET ,"","",""
"",RB/PN/13 A 539 DU11/09/13,LES SEPT ETOILES-PLUS,BACHES - FOURNITURES DE BUREAU ET SCOLAIRES - INFORMATIQUE - BTP - BOISSONS ,Sèmè-Kpodji Sèkandji LOT/499-A TEL/ 97 16 71 79,PP,KOUTON Sagbo Cosme
417,"","",SOBEBRA - GAZ DOMESTQUE - PRODUITS ,"","",""
"",RB/PN/13 A 672 ,"",COMMERCE: VENTE DE MATERIAUX DE ,"","",""
418,DU25/11/13,LIBRAKA,CONSTRUCTION ET DE QUINCAILLERIE - COMMERCE GENERAL ET DIVERS,Porto-Novo Agbokou2 LOT/21-B BP: 472 P/N TEL/97 07 60 68 ,PP,LATOUNDJI Ibouraïma Olayimika
"","","",ACHAT ET VENTE DE PIECES DETACHEES ,"","",""
"",RB/ PN/ 13 A 271,LOKO ET FILS,D'AUTOMOBILES ET AUTRES VEHICULES ,Kandévié-missogbé P/N LOT/ 31-e TEL/ ,"",LOKO Hounsa 
"","","",OUTILLAGE ELECTRIQUE - PNEUS D'OCCASION ,97714743,PP,Narcisse
419,"","",- PRODUITS SOBEBRA - POISSONNERIE - ,"","",""
"","","",INDUSTRIE: PRODUCTION AGROPASTORALE ,"","",""
"",RB/PN/13 A 357 DU22/05/13,LOUANGE A DIEU ET FILS,ET AGRO-INDUSTRIELLE - PRODUITS TROPICAUX ET COSMETIQUES - NTIC - ,Porto-Novo Dodji LOT/ 989-d TEL/ 97 15 38 78,PP,MIGANDO Mèdégnonmi 
420,"","",BUREAUTIQUE - BIJOUX - TEXTILES - ,"","",Germaine
"","","",FOURNITURES ET MATERIELS DE BUREAU - ,"","",""
"",RB P/N-13-A-084,LOUANGE ETERNELLE,MATERIELS INFORMATIQUES ET ,Déguè-gare P/N LOT/ 171-C TEL/ 97 98 59 06,PP,SAÏZONOU Lucie
421,"","",ACCESSOIRES - BTP - DIVERS,"","",""
